Player,#,Team,Pos,HT,WT,Age,Exp,College,Status
Jake Andrews,N/A,HOU,C,6'3,308,26,3,Troy,ACT
Denico Autry,N/A,HOU,DE,6'5,285,35,12,Mississippi State,ACT
Derek Barnett,N/A,HOU,DE,6'3,259,29,9,Tennessee,ACT
Braxton Berrios,N/A,HOU,WR,5'9,185,30,8,Miami,ACT
Austin Brinkman,N/A,HOU,LS,6'4,241,23,R,West Virginia,ACT
British Brooks,N/A,HOU,RB,5'11,225,26,2,North Carolina,ACT
Trent Brown,N/A,HOU,T,6'8,380,32,11,Florida,ACT
Harrison Bryant,N/A,HOU,TE,6'5,243,27,6,Florida Atlantic,ACT
Myles Bryant,N/A,HOU,CB,5'9,192,28,6,Washington,ACT
Calen Bullock,N/A,HOU,S,6'3,190,22,2,USC,ACT
Solomon Byrd,N/A,HOU,DE,6'3,250,26,1,USC,ACT
Ajani Carter,N/A,HOU,CB,6'2,200,25,R,Houston,ACT
Nick Chubb,N/A,HOU,RB,5'11,227,30,8,Georgia,ACT
Damone Clark,N/A,HOU,LB,6'2,245,25,4,LSU,ACT
Brandon Codrington,N/A,HOU,CB,5'9,185,25,2,North Carolina Central,ACT
Nico Collins,N/A,HOU,WR,6'4,222,26,5,Michigan,ACT
Eli Cox,N/A,HOU,C,6'4,309,25,R,Kentucky,ACT
Tank Dell,N/A,HOU,WR,5'10,165,26,3,Houston,ACT
Mario Edwards Jr. ,N/A,HOU,DT,6'3,280,32,10,Florida State,ACT
Aireontae Ersery,N/A,HOU,T,6'6,330,23,R,Minnesota,ACT
Ka'imi Fairbairn,N/A,HOU,K,6'1,183,32,10,UCLA,ACT
Folorunso Fatukasi,N/A,HOU,DT,6'4,318,30,7,Connecticut,ACT
Blake Fisher,N/A,HOU,T,6'6,312,22,2,Notre Dame,ACT
Kyonte Hamilton,N/A,HOU,DT,6'4,304,23,R,Rutgers,ACT
Jake Hansen,N/A,HOU,LB,6'1,230,27,4,Illinois,ACT
Christian Harris,N/A,HOU,LB,6'2,232,25,4,Alabama,ACT
Jayden Higgins,N/A,HOU,WR,6'4,215,23,R,Iowa State,ACT
Jamal Hill,N/A,HOU,LB,6'1,227,24,2,Oregon,ACT
Kurt Hinish,N/A,HOU,DT,6'1,296,26,4,Notre Dame,ACT
Dylan Horton,N/A,HOU,DE,6'4,275,25,3,TCU,ACT
Tytus Howard,N/A,HOU,T,6'5,322,29,7,Alabama State,ACT
Danielle Hunter,N/A,HOU,DE,6'5,263,31,11,LSU,ACT
Xavier Hutchinson,N/A,HOU,WR,6'3,210,25,3,Iowa State,ACT
Alijah Huzzie,N/A,HOU,CB,5'10,195,25,R,North Carolina,ACT
Ed Ingram,N/A,HOU,G,6'3,307,27,4,LSU,ACT
Ja'Marcus Ingram,N/A,HOU,CB,6'2,190,28,2,Buffalo,ACT
Naquan Jones,N/A,HOU,DT,6'3,313,28,5,Michigan State,ACT
Brevin Jordan,N/A,HOU,TE,6'3,245,25,5,Miami (Fla.),ACT
Jawhar Jordan,N/A,HOU,RB,5'10,185,26,1,Louisville,ACT
Josh Kelly,N/A,HOU,WR,6'1,192,24,R,Texas Tech,ACT
Jarrett Kingston,N/A,HOU,T,6'4,308,26,2,USC,ACT
Christian Kirk,N/A,HOU,WR,5'11,200,29,8,Texas A&M,ACT
Luke Lachey,N/A,HOU,TE,6'6,247,24,R,Iowa,ACT
Kamari Lassiter,N/A,HOU,CB,6'1,180,23,2,Georgia,ACT
Woody Marks,N/A,HOU,RB,5'10,208,25,R,USC,ACT
Kaevon Merriweather,N/A,HOU,S,6'1,212,26,3,Iowa,ACT
Graham Mertz,N/A,HOU,QB,6'2,216,25,R,Florida,ACT
Davis Mills,N/A,HOU,QB,6'4,225,27,5,Stanford,ACT
Joe Mixon,N/A,HOU,RB,6'1,220,29,9,Oklahoma,ACT
Jaylin Noel,N/A,HOU,WR,5'11,201,23,R,Iowa State,ACT
Dare Ogunbowale,N/A,HOU,RB,5'10,205,31,7,Wisconsin,ACT
Jarrett Patterson,N/A,HOU,C,6'4,310,26,3,Notre Dame,ACT
Jalen Pitre,N/A,HOU,S,6'1,200,26,4,Baylor,ACT
Layne Pryor,N/A,HOU,TE,6'2,250,23,R,Northern Iowa,ACT
Sheldon Rankins,N/A,HOU,DT,6'2,305,31,10,Louisville,ACT
Jaylen Reed,N/A,HOU,S,6'1,212,23,R,Penn State,ACT
Dalton Schultz,N/A,HOU,TE,6'5,242,29,8,Stanford,ACT
Juice Scruggs,N/A,HOU,C,6'3,310,26,3,Penn State,ACT
Tim Settle Jr. ,N/A,HOU,DT,6'3,313,28,8,Virginia Tech,ACT
Jaylin Smith,N/A,HOU,CB,5'11,190,22,R,USC,ACT
Tremon Smith,N/A,HOU,CB,5'11,190,29,8,Central Arkansas,ACT
Sidy Sow,N/A,HOU,G,6'5,318,27,3,Eastern Michigan,ACT
E.J. Speed,N/A,HOU,LB,6'4,227,30,7,Tarleton State,ACT
M.J. Stewart,N/A,HOU,S,5'11,205,30,8,North Carolina,ACT
Derek Stingley Jr.,N/A,HOU,CB,6'1,195,24,4,LSU,ACT
Cade Stover,N/A,HOU,TE,6'4,251,25,2,Ohio State,ACT
C.J. Stroud,N/A,HOU,QB,6'3,218,24,3,Ohio State,ACT
Junior Tafuna,N/A,HOU,DT,6'3,305,24,R,Utah,ACT
Xavier Thomas,N/A,HOU,LB,6'2,250,26,2,Clemson,ACT
Tommy Togiai,N/A,HOU,DT,6'2,296,26,4,Ohio State,ACT
Henry To'oTo'o,N/A,HOU,LB,6'2,228,25,3,Alabama,ACT
Tommy Townsend,N/A,HOU,P,6'1,191,29,6,Florida,ACT
Jimmie Ward,N/A,HOU,S,5'11,193,34,12,Northern Illinois,ACT
Justin Watson,N/A,HOU,WR,6'2,215,29,8,Penn,ACT
Jared Wayne,N/A,HOU,WR,6'3,210,25,1,Pittsburgh,ACT
Kevin Zeitler,N/A,TEN,G,6'4,332,35,14,Wisconsin,ACT
James Williams Sr.,N/A,TEN,LB,6'4,232,23,2,Miami,ACT
Jihad Ward,N/A,TEN,OLB,6'5,285,31,10,Illinois,ACT
Cam Ward,N/A,TEN,QB,6'2,219,23,R,Miami,ACT
Olisaemeka Udoh,N/A,TEN,T,6'6,320,29,7,Elon,ACT
T'Vondre Sweat,N/A,TEN,NT,6'4,366,24,2,Texas,ACT
Tyjae Spears,N/A,TEN,RB,5'11,195,24,3,Tulane,ACT
Joey Slye,N/A,TEN,K,5'11,213,29,7,Virginia Tech,ACT
Jackson Slater,N/A,TEN,G,6'3,311,22,R,Sacramento State,ACT
Peter Skoronski,N/A,TEN,LG,6'4,313,24,3,Northwestern,ACT
Jeffery Simmons,N/A,TEN,DT,6'4,305,28,7,Mississippi State,ACT
Micah Robinson,N/A,TEN,CB,5'11,183,24,R,Tulane,ACT
Jerrick Reed II,N/A,TEN,S,5'9,197,25,3,New Mexico,ACT
C.J. Ravenell,N/A,TEN,DL,6'5,300,25,1,Missouri Western,ACT
James Proche II,N/A,TEN,WR,5'11,193,29,7,SMU,ACT
Tony Pollard,N/A,TEN,RB,6'1,209,28,7,Memphis,ACT
Bryce Oliver,N/A,TEN,WR,6'1,214,25,2,Youngstown State,ACT
Chig Okonkwo,N/A,TEN,TE,6'3,238,26,4,Maryland,ACT
Kalel Mullings,N/A,TEN,RB,6'2,226,23,R,Michigan,ACT
Drew Moss,N/A,TEN,G,6'3,303,22,R,Colorado State,ACT
Dan Moore Jr.,N/A,TEN,T,6'5,315,27,5,Texas A&M,ACT
Dorian Mausi,N/A,TEN,LB,6'1,234,23,R,Auburn,ACT
David Martin-Robinson,N/A,TEN,TE,6'3,247,26,2,Temple,ACT
James Lynch,N/A,TEN,DL,6'4,295,27,6,Baylor,ACT
Corey Levin,N/A,TEN,C,6'4,307,31,7,Tennessee-Chattanooga,ACT
JC Latham,N/A,TEN,T,6'6,342,23,2,Alabama,ACT
Mason Kinsey,N/A,TEN,WR,5'11,200,27,3,Berry College,ACT
Arden Key,N/A,TEN,OLB,6'5,240,29,8,LSU,ACT
Sanoussi Kane,N/A,TEN,S,5'11,210,24,2,Purdue,ACT
Sebastian Joseph-Day,N/A,TEN,DE,6'4,310,30,7,Rutgers,ACT
Truman Jones,N/A,TEN,OLB,6'3,255,25,1,Harvard,ACT
Cam Horsley,N/A,TEN,DT,6'3,312,24,R,Boston College,ACT
Amani Hooker,N/A,TEN,S,5'11,210,27,7,Iowa,ACT
Gunnar Helm,N/A,TEN,TE,6'5,241,23,R,Texas,ACT
Johnny Hekker,N/A,TEN,P,6'5,225,36,14,Oregon State,ACT
Jaylen Harrell,N/A,TEN,OLB,6'4,247,23,2,Michigan,ACT
Erick Hallett,N/A,TEN,S,5'11,200,25,1,Pittsburgh,ACT
Kemon Hall,N/A,TEN,CB,5'11,190,28,4,North Texas,ACT
Cedric Gray,N/A,TEN,LB,6'2,234,23,2,North Carolina,ACT
Ali Gaye,N/A,TEN,OLB,6'6,265,28,2,LSU,ACT
Kaiir Elam,N/A,TEN,CB,6'1,202,24,4,Florida,ACT
Chimere Dike,N/A,TEN,WR,6'1,196,24,R,Florida,ACT
Garrett Dellinger,N/A,TEN,G,6'5,215,24,R,LSU,ACT
Lloyd Cushenberry III,N/A,TEN,C,6'4,315,28,6,LSU,ACT
Brandon Crenshaw-Dickson,N/A,TEN,T,6'7,316,24,R,Florida,ACT
Morgan Cox,N/A,TEN,LS,6'4,233,39,16,Tennessee,ACT
Julius Chestnut,N/A,TEN,RB,5'11,228,25,4,Sacred Heart University,ACT
Kendell Brooks,N/A,TEN,DB,6'1,206,25,1,Michigan State,ACT
Cody Barton,N/A,TEN,LB,6'2,237,29,7,Utah,ACT
Darrell Baker Jr.,N/A,TEN,CB,6'1,190,27,3,Georgia Southern,ACT
Joe Bachie,N/A,TEN,LB,6'2,235,27,6,Michigan State,ACT
Elic Ayomanor,N/A,TEN,WR,6'2,206,22,R,Stanford,ACT
Brandon Allen,N/A,TEN,QB,6'2,209,33,9,Arkansas,ACT
Jalyn Armour-Davis,N/A,TEN,CB,6'1,200,26,4,Alabama,IR
Mike Brown,N/A,TEN,S,6'1,218,26,3,Miami (Ohio),IR
Blake Hance,N/A,TEN,G,6'5,310,30,5,Northwestern,IR
Marcus Harris,N/A,TEN,CB,5'11,188,24,R,California,IR
Van Jefferson,N/A,TEN,WR,6'1,200,29,6,Florida,IR
Will Levis,N/A,TEN,QB,6'4,229,26,3,Kentucky,IR
Oluwafemi Oladejo,N/A,TEN,OLB,6'3,259,22,R,UCLA,IR
Anfernee Orji,N/A,TEN,LB,6'2,230,25,2,Vanderbilt,IR
Calvin Ridley,N/A,TEN,WR,6'1,190,31,7,Alabama,IR
L'Jarius Sneed,N/A,TEN,CB,6'1,192,29,6,Louisiana Tech,IR
Kevin Winston Jr.,N/A,TEN,S,6'2,213,22,R,Penn State,IR
Xavier Woods,N/A,TEN,S,5'11,200,30,9,Louisiana Tech,IR
Kris Abrams-Draine,N/A,DEN,CB,5'11,178,24,2,Missouri,ACT
Nate Adkins,N/A,DEN,TE,6'3,252,26,3,South Carolina,ACT
Zach Allen,N/A,DEN,DL,6'5,285,28,7,Boston College,ACT
Tyler Badie,N/A,DEN,RB,5'8,197,27,2,Missouri,ACT
Levelle Bailey,N/A,DEN,ILB,6'2,225,25,2,Fresno State,ACT
Jahdae Barron,N/A,DEN,CB,5'11,200,24,R,Texas,ACT
Garett Bolles,N/A,DEN,T,6'5,300,33,9,Utah,ACT
Nik Bonitto,N/A,DEN,OLB,6'3,240,26,4,Oklahoma,ACT
Pat Bryant,N/A,DEN,WR,6'2,204,23,R,Illinois,ACT
Michael Burton,N/A,DEN,FB,6'1,247,34,11,Rutgers,ACT
Jonathon Cooper,N/A,DEN,OLB,6'4,257,28,5,Ohio State,ACT
Marques Cox,N/A,DEN,T,6'5,312,26,R,Kentucky,ACT
Jeremy Crawshaw,N/A,DEN,P,6'3,205,24,R,Florida,ACT
Frank Crum,N/A,DEN,T,6'7,315,25,2,Wyoming,ACT
Michael Deiter,N/A,DEN,C,6'6,310,29,7,Wisconsin,ACT
J.K. Dobbins,N/A,DEN,RB,5'10,212,27,6,Ohio State,ACT
Sam Ehlinger,N/A,DEN,QB,6'1,222,27,5,Texas,ACT
Jonah Elliss,N/A,DEN,OLB,6'2,246,22,2,Utah,ACT
Evan Engram,N/A,DEN,TE,6'3,240,31,9,Mississippi,ACT
Alex Forsyth,N/A,DEN,C,6'4,312,27,3,Oregon,ACT
Mitchell Fraboni,N/A,DEN,LS,6'2,223,29,4,Arizona State,ACT
Troy Franklin,N/A,DEN,WR,6'3,180,23,2,Oregon,ACT
John Franklin-Myers,N/A,DEN,DL,6'4,288,29,8,Stephen F. Austin State,ACT
Nick Gargiulo,N/A,DEN,G,6'5,310,25,1,South Carolina,ACT
Dre Greenlaw,N/A,DEN,LB,6'1,230,28,7,Arkansas,ACT
RJ Harvey,N/A,DEN,RB,5'8,205,25,R,UCF,ACT
Matt Henningsen,N/A,DEN,DE,6'3,291,26,3,Wisconsin,ACT
Talanoa Hufanga,N/A,DEN,S,6'1,200,26,5,USC,ACT
Lil'Jordan Humphrey,N/A,DEN,WR,6'4,225,27,6,Texas,ACT
Jordan Jackson,N/A,DEN,DL,6'4,294,28,2,Air Force,ACT
Brandon Jones,N/A,DEN,S,6'1,191,27,6,Texas,ACT
D.J. Jones,N/A,DEN,DT,6'1,305,31,9,Mississippi,ACT
Nash Jones,N/A,DEN,G,6'4,314,23,R,Texas State-San Marcos,ACT
Sai'vion Jones,N/A,DEN,DE,6'5,289,22,R,LSU,ACT
Devon Key,N/A,DEN,DB,6'1,208,28,2,Western Kentucky,ACT
Lucas Krull,N/A,DEN,TE,6'6,260,27,3,Pittsburgh,ACT
P.J. Locke,N/A,DEN,S,5'10,202,29,6,Texas,ACT
Caleb Lohner,N/A,DEN,TE,6'7,250,24,R,Utah,ACT
Wil Lutz,N/A,DEN,K,5'11,184,31,10,Georgia State,ACT
Mike McGlinchey,N/A,DEN,T,6'8,315,31,8,Notre Dame,ACT
Jaleel McLaughlin,N/A,DEN,RB,5'7,187,25,3,Youngstown State,ACT
Ja'Quan McMillian,N/A,DEN,CB,5'10,183,25,3,East Carolina,ACT
Quinn Meinerz,N/A,DEN,G,6'3,320,27,5,Wisconsin-Whitewater,ACT
Jordan Miller,N/A,DEN,NT,6'3,307,26,1,SMU,ACT
Marvin Mims Jr.,N/A,DEN,WR,5'11,182,23,3,Oklahoma,ACT
Riley Moss,N/A,DEN,CB,6'1,193,25,3,Iowa,ACT
Sam Mustipher,N/A,DEN,C,6'3,306,29,6,Notre Dame,ACT
Garrett Nelson,N/A,DEN,DE,6'4,245,25,1,Nebraska,ACT
Bo Nix,N/A,DEN,QB,6'2,217,25,2,Oregon,ACT
Alex Palczewski,N/A,DEN,T,6'6,314,26,3,Illinois,ACT
Matt Peart,N/A,DEN,T,6'7,318,28,6,Connecticut,ACT
Ben Powers,N/A,DEN,G,6'4,310,29,7,Oklahoma,ACT
Adam Prentice,N/A,DEN,FB,6'1,245,29,5,South Carolina,ACT
Karene Reid,N/A,DEN,ILB,6'1,226,25,R,Utah,ACT
Malcolm Roach,N/A,DEN,DT,6'3,290,27,6,Texas,ACT
Jaden Robinson,N/A,DEN,CB,6'1,193,25,R,Oregon State,ACT
Que Robinson,N/A,DEN,OLB,6'4,243,24,R,Alabama,ACT
Drew Sanders,N/A,DEN,LB,6'5,233,25,3,Arkansas,ACT
Cody Schrader,N/A,DEN,RB,5'9,214,26,2,Missouri,ACT
Alex Singleton,N/A,DEN,ILB,6'2,240,32,7,Montana State,ACT
JL Skinner,N/A,DEN,S,6'4,220,24,3,Boise State,ACT
Jarrett Stidham,N/A,DEN,QB,6'3,215,29,6,Auburn,ACT
Justin Strnad,N/A,DEN,ILB,6'3,235,29,6,Wake Forest,ACT
Pat Surtain II,N/A,DEN,CB,6'2,202,25,5,Alabama,ACT
Courtland Sutton,N/A,DEN,WR,6'4,216,30,8,Southern Methodist,ACT
Reese Taylor,N/A,DEN,CB,5'9,188,26,1,Purdue,ACT
Calvin Throckmorton,N/A,DEN,G,6'5,311,29,5,Oregon,ACT
Dondrea Tillman,N/A,DEN,OLB,6'4,247,27,2,Indiana University of Pennsylvania,ACT
Adam Trautman,N/A,DEN,TE,6'5,253,29,6,Dayton,ACT
Jordan Turner,N/A,DEN,ILB,6'1,231,24,R,Michigan State,ACT
Eyioma Uwazurike,N/A,DEN,DL,6'6,320,27,3,Iowa State,ACT
Deuce Vaughn,N/A,DEN,RB,5'6,176,24,3,Kansas State,ACT
Johnny Walker,N/A,DEN,OLB,6'3,250,24,R,Missouri,ACT
Luke Wattenberg,N/A,DEN,C,6'5,300,28,4,Washington,ACT
Kristian Williams,N/A,DEN,DT,6'2,295,25,R,Missouri,ACT
Keenan Allen,N/A,LAC,WR,6'2,211,33,13,California,ACT
Mekhi Becton,N/A,LAC,G,6'7,363,26,6,Louisville,ACT
Bradley Bozeman,N/A,LAC,C,6'5,325,31,8,Alabama,ACT
Jamaree Caldwell,N/A,LAC,DT,6'1,340,25,R,Oregon,ACT
Tyler Conklin,N/A,LAC,TE,6'3,248,30,8,Central Michigan,ACT
Derius Davis,N/A,LAC,WR,5'8,165,25,3,TCU,ACT
Austin Deculus,N/A,LAC,T,6'5,321,26,3,LSU,ACT
Cameron Dicker,N/A,LAC,K,6'1,216,25,4,Texas,ACT
Will Dissly,N/A,LAC,TE,6'4,265,29,8,Washington,ACT
Bud Dupree,N/A,LAC,OLB,6'4,269,33,11,Kentucky,ACT
Troy Dye,N/A,LAC,LB,6'3,225,29,6,Oregon,ACT
Justin Eboigbe,N/A,LAC,DL,6'5,292,24,2,Alabama,ACT
Oronde Gadsden,N/A,LAC,TE,6'5,236,22,R,Syracuse,ACT
Omarion Hampton,N/A,LAC,RB,6'1,220,22,R,North Carolina,ACT
Da'Shawn Hand,N/A,LAC,DL,6'3,302,30,8,Alabama,ACT
Tre' Harris,N/A,LAC,WR,6'3,210,23,R,Mississippi,ACT
Josh Harris,N/A,LAC,LS,6'1,224,36,14,Auburn,ACT
Cam Hart,N/A,LAC,CB,6'2,207,25,2,Notre Dame,ACT
Bobby Hart,N/A,LAC,T,6'4,334,31,9,Florida State,ACT
Hassan Haskins,N/A,LAC,RB,6'2,228,26,4,Michigan,ACT
Daiyan Henley,N/A,LAC,LB,6'1,225,26,3,Washington State,ACT
Justin Herbert,N/A,LAC,QB,6'6,236,27,6,Oregon,ACT
Donte Jackson,N/A,LAC,CB,5'10,180,30,7,Louisiana State,ACT
Andre James,N/A,LAC,C,6'4,300,28,7,UCLA,ACT
Derwin James Jr.,N/A,LAC,S,6'2,215,29,8,Florida State,ACT
Tony Jefferson,N/A,LAC,S,5'11,212,34,11,Oklahoma,ACT
Zion Johnson,N/A,LAC,G,6'3,316,26,4,Boston College,ACT
Quentin Johnston,N/A,LAC,WR,6'2,208,24,3,TCU,ACT
Kyle Kennard,N/A,LAC,OLB,6'5,254,24,R,South Carolina,ACT
KeAndre Lambert-Smith,N/A,LAC,WR,6'1,182,24,R,Auburn,ACT
Trey Lance,N/A,LAC,QB,6'4,226,25,5,North Dakota State,ACT
Deane Leonard,N/A,LAC,DB,6'1,195,26,4,Mississippi,ACT
Khalil Mack,N/A,LAC,OLB,6'3,269,34,12,Buffalo,ACT
Scott Matlock,N/A,LAC,FB,6'4,296,25,3,Boise State,ACT
Ladd McConkey,N/A,LAC,WR,6'1,185,24,2,Georgia,ACT
RJ Mickens,N/A,LAC,S,6'1,210,24,R,Clemson,ACT
Elijah Molden,N/A,LAC,DB,5'10,192,27,5,Washington,ACT
Otito Ogbonnia,N/A,LAC,DL,6'4,320,25,4,UCLA,ACT
Odafe Oweh,N/A,LAC,OLB,6'5,251,27,5,Penn State,ACT
Jaret Patterson,N/A,LAC,RB,5'8,195,26,2,Buffalo,ACT
Trevor Penning,N/A,LAC,T,6'7,325,26,4,Northern Iowa,ACT
Denzel Perryman,N/A,LAC,LB,5'11,240,33,11,Miami,ACT
Del'Shawn Phillips,N/A,LAC,LB,6'2,230,29,6,Illinois,ACT
Trey Pipkins III,N/A,LAC,G,6'6,307,29,7,Sioux Falls,ACT
Jamaree Salyer,68,LAC,LT,6'4,325,25,4,Georgia,ACT
JK Scott,N/A,LAC,P,6'5,208,30,7,Alabama,ACT
Benjamin St-Juste,N/A,LAC,CB,6'3,200,28,5,Minnesota,ACT
Tarheeb Still,N/A,LAC,CB,6'1,196,23,2,Maryland,ACT
Teair Tart,N/A,LAC,DL,6'2,315,28,6,Florida International,ACT
Tuli Tuipulotu,N/A,LAC,OLB,6'3,266,23,3,Southern California,ACT
Kimani Vidal,N/A,LAC,RB,5'8,215,24,2,Troy,ACT
Marlowe Wax,N/A,LAC,LB,6'1,236,23,R,Syracuse,ACT
Kendall Williamson,N/A,LAC,S,6'1,203,25,1,Stanford,ACT
Joe Alt,N/A,LAC,T,6'8,322,22,2,Notre Dame,IR
Junior Colson,N/A,LAC,LB,6'3,247,23,2,Michigan,IR
Tucker Fisk,N/A,LAC,TE,6'4,285,27,2,Stanford,IR
Josh Fuga,N/A,LAC,DL,6'2,313,25,R,Virginia Tech,IR
Najee Harris,N/A,LAC,RB,6'1,242,27,5,Alabama,IR
Jordan Oladokun,N/A,LAC,CB,6'1,190,23,R,Bowling Green State,IR
Nikko Reed,N/A,LAC,CB,5'10,180,22,R,Oregon,IR
Eric Rogers,N/A,LAC,CB,6'2,189,23,R,Rutgers,IR
Rashawn Slater,N/A,LAC,T,6'4,315,26,5,Northwestern,IR
Savion Washington,N/A,LAC,T,6'9,340,23,R,Syracuse,IR
Matt Araiza,N/A,KC,P,6'1,200,25,2,San Diego State,ACT
Jeffrey Bassa,N/A,KC,LB,6'2,235,23,R,Oregon,ACT
Nick Bolton,N/A,KC,LB,5'11,237,25,5,Missouri,ACT
Hollywood Brown,N/A,KC,WR,5'9,180,28,7,Oklahoma,ACT
Harrison Butker,N/A,KC,K,6'4,205,30,9,Georgia Tech,ACT
Mike Caliendo,66,KC,LG,6'4,301,28,3,Western Michigan,ACT
Cole Christiansen,N/A,KC,LB,6'1,230,28,2,Army,ACT
Jack Cochrane,N/A,KC,LB,6'3,236,27,4,South Dakota,ACT
Chamarri Conner,N/A,KC,DB,6'1,202,25,3,Virginia Tech,ACT
Bryan Cook,N/A,KC,S,6'1,206,26,4,Cincinnati,ACT
Mike Danna,N/A,KC,DE,6'2,257,28,6,Michigan,ACT
Ethan Downs,N/A,KC,OLB,6'4,263,23,R,Oklahoma,ACT
Mike Edwards,N/A,KC,S,5'10,205,29,7,Kentucky,ACT
Kristian Fulton,N/A,KC,CB,5'11,197,27,5,LSU,ACT
Ashton Gillotte,N/A,KC,DE,6'3,270,23,R,Louisville,ACT
Chukwuebuka Godrick,N/A,KC,T,6'5,293,25,1,International,ACT
Noah Gray,N/A,KC,TE,6'3,240,26,5,Duke,ACT
C.J. Hanson,61,KC,RG,6'5,300,24,2,Holy Cross,ACT
Jaden Hicks,N/A,KC,DB,6'1,215,23,2,Washington State,ACT
Creed Humphrey,N/A,KC,C,6'4,302,26,5,Oklahoma,ACT
Kareem Hunt,N/A,KC,RB,5'11,216,30,9,Toledo,ACT
Nazeeh Johnson,N/A,KC,S,5'10,199,27,4,Marshall,ACT
Chris Jones,N/A,KC,DT,6'6,310,31,10,Mississippi State,ACT
George Karlaftis,N/A,KC,DE,6'4,263,24,4,Purdue,ACT
Travis Kelce,N/A,KC,TE,6'5,250,36,13,Cincinnati,ACT
Kevin Knowles,N/A,KC,DB,5'11,190,22,R,Florida State,ACT
Cooper McDonald,N/A,KC,LB,6'3,240,24,R,TCU,ACT
Jaylon Moore,77,KC,LT,6'4,311,28,5,Western Michigan,ACT
Derrick Nnadi,N/A,KC,DT,6'1,317,29,8,Florida State,ACT
Hunter Nourzad,60,KC,C,6'3,317,25,2,Penn State,ACT
Chris Oladokun,N/A,KC,QB,6'1,213,28,1,South Dakota State,ACT
Charles Omenihu,N/A,KC,DE,6'5,280,28,7,Texas,ACT
Isiah Pacheco,N/A,KC,RB,5'10,216,26,4,Rutgers,ACT
Mike Pennel,N/A,KC,NT,6'4,330,34,11,Colorado State (Pueblo),ACT
Zacch Pickens,N/A,KC,DT,6'4,303,25,3,South Carolina,ACT
Dameon Pierce,N/A,KC,RB,5'10,215,25,4,Florida,ACT
Esa Pole,79,KC,LT,6'7,319,24,R,Washington State,ACT
Jalen Royals,N/A,KC,WR,6'1,195,23,R,Utah State,ACT
Brashard Smith,N/A,KC,RB,5'10,196,22,R,SMU,ACT
Trey Smith,N/A,KC,G,6'6,321,26,5,Tennessee,ACT
Melvin Smith Jr.,N/A,KC,CB,6'1,185,23,R,Southern Arkansas,ACT
Tyreke Smith,N/A,KC,DE,6'3,255,26,3,Ohio State,ACT
JuJu Smith-Schuster,N/A,KC,WR,6'1,215,29,9,USC,ACT
Kingsley Suamataia,N/A,KC,T,6'4,326,23,2,BYU,ACT
Jerry Tillery,N/A,KC,DL,6'6,295,29,7,Notre Dame,ACT
Robert Tonyan,N/A,KC,TE,6'5,240,31,7,Indiana State,ACT
Drue Tranquill,N/A,KC,LB,6'2,234,30,7,Notre Dame,ACT
Jared Wiley,N/A,KC,TE,6'6,249,25,2,TCU,ACT
Joshua Williams,N/A,KC,CB,6'3,193,26,4,Fayetteville State University,ACT
Nohl Williams,N/A,KC,DB,6'1,200,23,R,California,ACT
James Winchester,N/A,KC,LS,6'3,240,36,11,Oklahoma,ACT
Xavier Worthy,N/A,KC,WR,5'11,165,22,2,Texas,ACT
Felix Anudike-Uzomah,N/A,KC,DE,6'4,255,24,3,Kansas State,IR
Jake Briningstool,N/A,KC,TE,6'6,240,23,R,Clemson,IR
Deon Bush,N/A,KC,S,6'1,200,32,9,Miami,IR
Leo Chenal,N/A,KC,LB,6'3,250,25,4,Wisconsin,IR
Brandon George,N/A,KC,LB,6'3,240,25,R,Pittsburgh,IR
Keaontay Ingram,N/A,KC,RB,6'1,220,26,3,USC,IR
Patrick Mahomes ,N/A,KC,QB,6'2,225,30,9,Texas Tech,IR
Trent McDuffie,N/A,KC,CB,5'11,193,25,4,Washington,IR
Gardner Minshew,N/A,KC,QB,6'1,225,29,7,Washington State,IR
Wanya Morris,64,KC,LT,6'6,307,25,3,Oklahoma,IR
Omarr Norman-Lott,N/A,KC,DT,6'3,315,23,R,Tennessee,IR
Nikko Remigio,N/A,KC,WR,5'9,187,26,1,Fresno State,IR
Rashee Rice,N/A,KC,WR,6'1,204,25,3,SMU,IR
Janarius Robinson,N/A,KC,DE,6'5,263,27,5,Florida State,IR
Chris Roland-Wallace,N/A,KC,CB,5'11,202,24,2,USC,IR
Eric Scott,N/A,KC,CB,6'2,202,26,2,Southern Mississippi,IR
Josh Simmons,N/A,KC,T,6'5,310,23,R,Ohio State,IR
Jawaan Taylor,N/A,KC,T,6'5,330,28,7,Florida,IR
Tyquan Thornton,N/A,KC,WR,6'2,185,25,4,Baylor,IR
Jaylen Watson,N/A,KC,CB,6'2,197,27,4,Washington State,IR
Ethan Driskell,N/A,KC,T,6'8,313,25,2,Marshall,IR
Jamal Adams,N/A,LV,LB,6'1,213,30,9,LSU,ACT
Chigozie Anusiem,N/A,LV,CB,6'1,200,25,2,Colorado State,ACT
Alex Bachman,N/A,LV,WR,6'1,190,29,2,Wake Forest,ACT
Jack Bech,N/A,LV,WR,6'1,214,23,R,TCU,ACT
Jacob Bobenmoyer,N/A,LV,LS,6'1,235,28,6,Northern Colorado,ACT
Thomas Booker IV,N/A,LV,DT,6'3,301,26,3,Stanford,ACT
Adam Butler,N/A,LV,DT,6'4,301,31,8,Vanderbilt,ACT
